product,budget,dateF
7,185944,3/1/22
6,10796,3/1/22
4,1526,3/1/22
5,103764,3/1/22
3,4250,3/1/22
2,10798,3/1/22
0,417202,3/1/22
1,13156,3/1/22
3,6384,2/1/22
4,3490,2/1/22
7,227132,2/1/22
0,815284,2/1/22
2,13500,2/1/22
5,177270,2/1/22
6,13536,2/1/22
1,16730,2/1/22
6,17078,1/1/22
5,185540,1/1/22
7,230040,1/1/22
0,1138838,1/1/22
4,4908,1/1/22
3,4812,1/1/22
1,16436,1/1/22
2,12690,1/1/22
6,14764,12/1/21
1,17402,12/1/21
0,815628,12/1/21
7,225172,12/1/21
4,3314,12/1/21
3,4972,12/1/21
5,169706,12/1/21
2,13912,12/1/21
7,185170,11/1/21
1,13832,11/1/21
0,468984,11/1/21
5,138594,11/1/21
6,11468,11/1/21
4,5694,11/1/21
2,13298,11/1/21
3,4528,11/1/21
0,678898,10/1/21
7,228378,10/1/21
3,6340,10/1/21
5,170818,10/1/21
1,18108,10/1/21
6,14336,10/1/21
2,18566,10/1/21
4,5842,10/1/21
4,4072,9/1/21
2,11502,9/1/21
3,3540,9/1/21
7,166088,9/1/21
0,807220,9/1/21
5,132806,9/1/21
1,11882,9/1/21
6,11670,9/1/21
7,198784,8/1/21
1,17416,8/1/21
5,178636,8/1/21
3,5124,8/1/21
0,921254,8/1/21
6,17890,8/1/21
4,4944,8/1/21
2,20468,8/1/21
3,7224,7/1/21
7,276612,7/1/21
5,208200,7/1/21
1,22202,7/1/21
6,21304,7/1/21
2,18654,7/1/21
0,911318,7/1/21
4,5554,7/1/21
5,220600,6/1/21
4,5514,6/1/21
7,283804,6/1/21
0,960262,6/1/21
2,21626,6/1/21
1,22796,6/1/21
6,20520,6/1/21
3,8738,6/1/21
2,23100,5/1/21
0,1145366,5/1/21
6,21174,5/1/21
7,333338,5/1/21
5,233918,5/1/21
3,7708,5/1/21
1,23964,5/1/21
4,4512,5/1/21
6,17668,4/1/21
5,196672,4/1/21
1,22896,4/1/21
7,276286,4/1/21
3,7764,4/1/21
2,19308,4/1/21
0,875350,4/1/21
4,2680,4/1/21
3,6480,3/1/21
7,251200,3/1/21
1,18976,3/1/21
0,654436,3/1/21
5,165650,3/1/21
6,14390,3/1/21
2,19224,3/1/21
4,2886,3/1/21
0,840544,2/1/21
2,18916,2/1/21
3,6714,2/1/21
4,3390,2/1/21
1,18334,2/1/21
7,242420,2/1/21
6,14064,2/1/21
5,164670,2/1/21
2,25860,1/1/21
4,3450,1/1/21
0,1239942,1/1/21
6,19672,1/1/21
7,299228,1/1/21
3,8736,1/1/21
5,216292,1/1/21
1,24742,1/1/21
6,19082,12/1/20
5,185850,12/1/20
3,7832,12/1/20
2,19126,12/1/20
7,264664,12/1/20
0,747522,12/1/20
1,21482,12/1/20
4,2612,12/1/20
7,232102,11/1/20
3,8242,11/1/20
2,20322,11/1/20
0,966024,11/1/20
4,4724,11/1/20
1,22328,11/1/20
6,20032,11/1/20
5,190836,11/1/20
